Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,
Singles,Luna,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-smile-ep.jpg,,
Time / Egg Nog,Luna,,7,,,1992,Elektra,ST-E-64679,Time,Egg Nog,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-time-egg-nog-800.jpg,,time egg nog  
Anesthesia,Luna,,CD,,,1992,Elektra,PR-8632,Anesthesia,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-anesthesia-promo.jpg,,,,anesthesia  https://media.fullofwishes.co.uk/02-luna/sleeves/luna-anesthesia-promo.jpg 
Smile,Luna,,CD,4,US,1993,Elektra,EKR169CD,Smile|Slash Your Tires|Hey Sister|Rollercoaster,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-smile-ep.jpg,,smile slash your tires hey sister rollercoaster   
Smile,Luna,,12,4,US,1993,Elektra,EKR169CD,Smile|Slash Your Tires,Hey Sister|Rollercoaster,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-smile-ep.jpg,,smile slash your tires hey sister rollercoaster  
Indian Summer,Luna,,CD,4,UK,1993,Rough Trade,,Indian Summer|Egg Nog|Ride Into The Sun|That's What You Always Say,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-indian-summer.jpg,,indian summer egg nog ride into the sun that's what you always say   
Indian Summer,Luna,,12,4,UK,1993,Rough Trade,,Indian Summer|Egg Nog,Ride Into The Sun|That's What You Always Say,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-indian-summer.jpg,,indian summer egg nog ride into the sun that's what you always say  
Indian Summer,Luna,,7,4,AUS,1993,Summershine,,Indian Summer,,,,,,indian summer   
Slide,Luna,,CD,6,US,1993,Elektra,,Slide|Indian Summer|Ride Into the Sun|That's What You Always Say|Hey Sister|Rollercoaster,,,,,,slide indian summer ride into the sun that's what you always say hey sister rollercoaster   
Slide,Luna,,CD,6,AUS,1993,Summershine,,Slide|Indian Summer|Ride Into the Sun|That's What You Always Say|Hey Sister|Rollercoaster,,,,,,slide indian summer ride into the sun that's what you always say hey sister rollercoaster   
Slide,Luna,,MC,6,US,1993,Summershine,,Slide|Indian Summer|Ride Into the Sun|That's What You Always Say|Hey Sister|Rollercoaster,Slide|Indian Summer|Ride Into the Sun|That's What You Always Say|Hey Siste|Rollercoaster,,,,Both sides have the same tracklist,slide indian summer ride into the sun that's what you always say hey sister rollercoaster slide indian summer ride into the sun that's what you always say hey siste rollercoaster  
This Time Around,Luna,,CD,,,1994,Elektra,PRCD 8984-2,This Time Around,,,,,,this time around   
Tiger Lily,Luna,,CD,,,1994,Elektra,PRCD 8884-2,Tiger Lily|Tiger Lily,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-tiger-lily-promo-sleeve-front.jpg,,tiger lily tiger lily   
Bonnie & Clyde,Luna,,CD,4,UK,1995,Beggars Banquet,,Bonnie and Clyde [Bonnie Parker version]|Thank You for Sending Me an Angel|Chinatown|Bonnie and Clyde [Clyde Barrow version],,,,,,bonnie and clyde [bonnie parker version] thank you for sending me an angel chinatown bonnie and clyde [clyde barrow version]   
Bonnie & Clyde,Luna,,12,4,UK,1995,Beggars Banquet,,Bonnie and Clyde [Bonnie Parker version]|Thank You for Sending Me an Angel,Chinatown|Bonnie and Clyde [Clyde Barrow version],,,,,bonnie and clyde [bonnie parker version] thank you for sending me an angel chinatown bonnie and clyde [clyde barrow version]  
Hedgehog / 23 Minutes in Brussels,Luna,,7,3,UK,1995,Beggars Banquet,,Hedgehog|No Regrets,23 Minutes in Brussels,,,,,hedgehog no regrets 23 minutes in brussels  
Hedgehog / 23 Minutes in Brussels,Luna,,CD,4,UK,1995,Beggars Banquet,,Hedgehog|23 Minutes  in Brussels|No Regrets|Happy New Year,,,,,,hedgehog 23 minutes  in brussels no regrets happy new year   
Hedgehog / 23 Minutes in Brussels,Luna,,12,4,UK,1995,Beggars Banquet,,Hedgehog|23 Minutes  in Brussels|No Regrets|Happy New Year,,,,,,hedgehog 23 minutes  in brussels no regrets happy new year   
Hedgehog / 23 Minutes in Brussels,Luna,,7,,,1995,Beggars Banquet,BBQ59,Hedgehog|No Regrets,23 Minutes in Brussels,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-hedgehog-23-minutes.jpg,,hedgehog no regrets 23 minutes in brussels  
Hedgehog / 23 Minutes in Brussels,Luna,,CD,,,1995,Beggars Banquet,BBQ59CD,Hedgehog|23 Minutes in Brussels|No Regrets|Happy New Year,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-hedgehog-23-minutes.jpg,,hedgehog 23 minutes in brussels no regrets happy new year   
Three Stories,Luna,,CD,,,1995,Elektra,PRCD 9241-2,Chinatown|23 Minutes in Brussels|Bonnie and Clyde,,,,https://media.fullofwishes.co.uk/02-luna/sleeves/luna-three-stories-promo.jpg,,chinatown 23 minutes in brussels bonnie and clyde   
